<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.04	14:51:00	121910	121915	121850	121870	17418	68761	5
2024.06.04	14:54:00	121870	121890	121825	121830	15650	60687	5
2024.06.04	14:57:00	121830	121875	121805	121855	14461	56097	5
2024.06.04	15:00:00	121855	121880	121820	121850	10569	39689	5
2024.06.04	15:03:00	121850	121900	121835	121875	12635	48765	5
2024.06.04	15:06:00	121880	121885	121850	121860	7109	26543	5
2024.06.04	15:09:00	121860	121875	121785	121815	17562	72702	5
2024.06.04	15:12:00	121815	121845	121790	121810	11859	51212	5
2024.06.04	15:15:00	121810	121905	121795	121865	20678	81185	5
2024.06.04	15:18:00	121870	121950	121840	121950	21118	85781	5
2024.06.04	15:21:00	121950	122045	121940	121985	32981	132714	5
2024.06.04	15:24:00	121990	122040	121960	122030	22987	100998	5
2024.06.04	15:27:00	122035	122190	122030	122150	48540	204120	5
2024.06.04	15:30:00	122155	122155	121955	122005	38452	166959	5
2024.06.04	15:33:00	122005	122010	121960	121985	14273	60060	5
2024.06.04	15:36:00	121985	121985	121905	121945	22129	95842	5
2024.06.04	15:39:00	121945	121985	121875	121880	18334	77085	5
2024.06.04	15:42:00	121880	121945	121875	121925	14790	59191	5
2024.06.04	15:45:00	121925	122045	121920	122025	24346	99544	5
2024.06.04	15:48:00	122025	122055	121965	122030	19906	83040	5
2024.06.04	15:51:00	122030	122030	121960	121985	14112	56795	5
2024.06.04	15:54:00	121985	121985	121845	121880	25622	107165	5
2024.06.04	15:57:00	121880	121925	121850	121895	15172	65376	5
2024.06.04	16:00:00	121900	121915	121785	121830	27730	114452	5
2024.06.04	16:03:00	121835	121870	121745	121760	26686	114600	5
2024.06.04	16:06:00	121770	121840	121715	121815	25508	100327	5
2024.06.04	16:09:00	121810	121865	121790	121840	16730	69041	5
2024.06.04	16:12:00	121840	121940	121840	121925	20238	77115	5
2024.06.04	16:15:00	121925	121985	121905	121975	21371	84315	5
2024.06.04	16:18:00	121980	121995	121920	121960	15101	57159	5
2024.06.04	16:21:00	121960	121980	121905	121930	12170	47399	5
2024.06.04	16:24:00	121925	121960	121915	121945	8046	30735	5
2024.06.04	16:27:00	121945	121990	121900	121985	13682	58270	5
2024.06.04	16:30:00	121985	122015	121935	121975	14617	59118	5
2024.06.04	16:33:00	121970	122035	121970	121990	14551	55932	5
2024.06.04	16:36:00	121995	122010	121910	121925	16979	71725	5
2024.06.04	16:39:00	121930	121975	121915	121965	11486	45704	5
2024.06.04	16:42:00	121965	122055	121960	122035	19824	78442	5
2024.06.04	16:45:00	122035	122040	121955	121990	16019	68717	5
2024.06.04	16:48:00	121990	122010	121945	121985	10557	43388	5
2024.06.04	16:51:00	121985	122025	121980	122005	10570	44401	5
2024.06.04	16:54:00	122005	122050	121995	122030	12836	53484	5
2024.06.04	16:57:00	122030	122070	122015	122060	10650	42796	5
2024.06.04	17:00:00	122065	122065	121990	122015	11942	49072	5
2024.06.04	17:03:00	122020	122045	121985	122020	7373	30724	5
2024.06.04	17:06:00	122015	122055	122005	122020	6082	24093	5
2024.06.04	17:09:00	122020	122035	121995	122005	5786	24608	5
2024.06.04	17:12:00	122005	122015	121950	121970	11025	48770	5
2024.06.04	17:15:00	121965	122000	121965	121985	4292	17445	5
2024.06.04	17:18:00	121985	121995	121955	121980	5311	23152	5
2024.06.04	17:21:00	121980	122000	121975	121985	3312	17226	5
2024.06.04	17:24:00	121985	121990	121925	121940	8038	33116	5
2024.06.04	17:27:00	121945	121950	121915	121945	5286	22209	5
2024.06.04	17:30:00	121945	122015	121925	122010	10003	40977	5
2024.06.04	17:33:00	122010	122035	121995	122010	7778	30601	5
2024.06.04	17:36:00	122010	122015	121955	121965	5702	23974	5
2024.06.04	17:39:00	121965	122005	121965	121980	4646	18975	5
2024.06.04	17:42:00	121980	121985	121955	121975	2944	12960	5
2024.06.04	17:45:00	121975	122025	121970	121995	5661	24029	5
2024.06.04	17:48:00	121990	121995	121955	121980	3589	14802	5
2024.06.04	17:51:00	121980	121985	121955	121970	2341	9322	5
2024.06.04	17:54:00	121975	122015	121975	122000	3838	18168	5
2024.06.04	17:57:00	122000	122140	122000	122095	11080	46846	5
2024.06.04	18:00:00	122085	122185	122085	122120	10226	26560	5
2024.06.04	18:03:00	122125	122140	122085	122110	5404	12989	5
2024.06.04	18:06:00	122115	122155	122105	122145	3425	8007	5
2024.06.04	18:09:00	122145	122155	122075	122095	5334	15435	5
2024.06.04	18:12:00	122100	122260	122095	122185	12730	37221	5
2024.06.04	18:15:00	122185	122220	122165	122170	7150	17663	5
2024.06.04	18:18:00	122165	122230	122140	122160	5934	17085	5
2024.06.04	18:21:00	122155	122190	122125	122175	2264	8854	5
2024.06.04	18:24:00	122190	122225	122045	122045	1723	16681	5
2024.06.05	09:00:00	122305	122350	122060	122150	71786	197420	5
2024.06.05	09:03:00	122145	122170	122020	122045	42453	122523	5
2024.06.05	09:06:00	122050	122050	121975	122020	28750	97919	5
2024.06.05	09:09:00	122025	122150	121995	122130	34329	121212	5
2024.06.05	09:12:00	122135	122140	122045	122115	21021	66516	5
2024.06.05	09:15:00	122110	122225	122105	122125	38885	132299	5
2024.06.05	09:18:00	122130	122175	122055	122105	28335	95057	5
2024.06.05	09:21:00	122105	122135	122030	122090	19910	66014	5
2024.06.05	09:24:00	122095	122140	122085	122110	14031	46069	5
2024.06.05	09:27:00	122110	122115	121945	121970	34461	114078	5
2024.06.05	09:30:00	121975	122010	121845	121890	51420	184326	5
2024.06.05	09:33:00	121895	121985	121875	121965	28597	101203	5
2024.06.05	09:36:00	121965	121985	121865	121875	26767	96191	5
2024.06.05	09:39:00	121880	121950	121850	121940	22351	83278	5
2024.06.05	09:42:00	121935	121985	121860	121930	31238	113360	5
2024.06.05	09:45:00	121930	121940	121885	121900	14376	53748	5
2024.06.05	09:48:00	121895	121925	121860	121905	15865	58808	5
2024.06.05	09:51:00	121910	122000	121895	121930	31252	107488	5
2024.06.05	09:54:00	121930	121955	121865	121920	24186	84948	5
2024.06.05	09:57:00	121925	121965	121885	121950	15596	52928	5
2024.06.05	10:00:00	121950	121955	121770	121885	66160	240555	5
2024.06.05	10:03:00	121885	121895	121810	121830	27743	101362	5
2024.06.05	10:06:00	121830	121860	121755	121860	37655	134886	5
2024.06.05	10:09:00	121860	121920	121840	121870	40223	148300	5
2024.06.05	10:12:00	121870	121900	121795	121880	36809	135720	5
2024.06.05	10:15:00	121885	121915	121790	121865	36542	134417	5
2024.06.05	10:18:00	121870	121960	121830	121955	35842	130281	5
2024.06.05	10:21:00	121950	121965	121850	121900	32269	116601	5
2024.06.05	10:24:00	121900	122045	121865	122035	45361	153417	5
2024.06.05	10:27:00	122040	122055	121935	121985	35720	123523	5
2024.06.05	10:30:00	121980	122040	121770	121805	93261	337696	5
2024.06.05	10:33:00	121800	121885	121755	121840	54559	205888	5
2024.06.05	10:36:00	121845	121845	121745	121820	36393	135728	5
2024.06.05	10:39:00	121820	121910	121765	121865	33736	125997	5
2024.06.05	10:42:00	121870	121935	121855	121900	18771	66822	5
2024.06.05	10:45:00	121900	121980	121760	121860	63932	232425	5
